
  input,output
  "input: Hey, what's the date and time","output: func [\"get_date\",\"get_time\"]",
  "input: Can you give me a heads up on the date and time","output: func [\"get_date\",\"get_time\"]",
  "input: What is the current date and time","output: func [\"get_date\",\"get_time\"]",
  "input: Could you please give me the temperature","output: func [\"get_temp\"]",
  "input: Can you tell me the temperature","output: func [\"get_temp\"]",
  "input: What is the temperature","output: func [\"get_temp\"]",
  "input: Is there a way to find out the temperature","output: func [\"get_temp\"]",
  "input: Can you help me check the temperature","output: func [\"get_temp\"]",
  "input: I need to know the temperature","output: func [\"get_temp\"]",
  "input: I need to know the temperature for [reason]","output: func [\"get_temp\"]",
  "input: Hey, what's the temperature","output: func [\"get_temp\"]",
  "input: Can you give me a heads up on the temperature","output: func [\"get_temp\"]",
  "input: What is the current temperature","output: func [\"get_temp\"]",
  "input: Let's wrap up this chat","output: func [\"exit\"]",
  "input: I'd like to end this conversation","output: func [\"exit\"]",
  "input: Can we exit chat mode","output: func [\"exit\"]",
  "input: exit chat mode","output: func [\"exit\"]",
  "input: quit chat mode","output: func [\"exit\"]",
  "input: end chat mode","output: func [\"exit\"]",
  "input: Would you mind if we end chat mode","output: func [\"exit\"]",
  "input: exit chat","output: func [\"exit\"]",
  "input: exit","output: func [\"exit\"]",
  "input: stop chat mode","output: func [\"exit\"]",
  "input: exit mode","output: func [\"exit\"]",
  "input: open [app name]","output: func [\"open_app\", \"app name\"]",
  "input: open app [app name]","output: func [\"open_app\", \"app name\"]",
  "input: open spotify","output: func [\"open_app\", \"spotify\"]",
  "input: Launch [app name]","output: func [\"open_app\", \"app name\"]",
  "input: Start [app name]","output: func [\"open_app\", \"app name\"]",
  "input: Run [app name]","output: func [\"open_app\", \"app name\"]",
  "input: Launch Microsoft Word","output: func [\"open_app\", \"Microsoft Word\"]",
  "input: Start Spotify","output: func [\"open_app\", \"spotify\"]",
  "input: Run Calculator","output: func [\"open_app\", \"calculator\"]",
  "input: open spotify and whatsapp","output: func [\"open_app\", \"calculator\", \"open_app\",\"whatsapp\"]",
  "input: open spotify and notepad","output: func [\"open_app\", \"calculator\", \"open_app\",\"notepad\"]",
  "input: start word and chrome","output: func [\"open_app\", \"word\", \"open_app\",\"chrome\"]",
  "input: close [app name]","output: func [\"close_app\", \"app name\"]",
  "input: close [app name] app","output: func [\"close_app\", \"app name\"]",
  "input: close [app name] application","output: func [\"close_app\", \"app name\"]",
  "input: close spotify","output: func [\"close_app\", \"spotify\"]",
  "input: close chrome","output: func [\"close_app\", \"chrome\"]",
  "input: close word","output: func [\"close_app\", \"word\"]",
  "input: quit [app name]","output: func [\"close_app\", \"app name\"]",
  "input: quit notepad","output: func [\"close_app\", \"notepad\"]",
  "input: quit spotify","output: func [\"close_app\", \"spotify\"]",
  "input: close word ans spotify","output: func [\"close_app\", \"word\",\"close_app\", \"spotify\"]",
  "input: quit notepad as well as calculator","output: func [\"close_app\", \"notepad\",\"close_app\", \"calculator\"]",
  "input: open youtube","output: func [\"open_youtube\"]",
  "input: open youtube on chrome","output: func [\"open_youtube\"]",
  "input: start youtube","output: func [\"open_youtube\"]",
  "input: launch youtube","output: func [\"open_youtube\"]",
  "input: search [search string] on youtube","output: func [\"search_on_youtube\",\"search string\"]",
  "input: search c programming on youtube","output: func [\"search_on_youtube\",\"c programming\"]",
  "input: play until I found you on youtube","output: func [\"search_on_youtube\",\"until I found you\"]",
  "input: play [search string] on youtube","output: func [\"search_on_youtube\",\"search string\"]",
  "input: pause video","output: func [\"pause_video\"]",
  "input: pause youtube video","output: func [\"pause_video\"]",
  "input: pause","output: func [\"pause_video\"]",
  "input: restart video","output: func [\"restart_video\"]",
  "input: restart youtube video","output: func [\"restart_video\"]",
  "input: restart","output: Please be clear with you request, what do you want to restart. (eg. system, video, etc)",
  "input: mute video","output: func [\"mute_video\"]",
  "input: mute youtube video","output: func [\"mute_video\"]",
  "input: skip video","output: func[\"skip_video\"]",
  "input: skip 10 seconds of video","output: func [\"skip_video\"]",
  "input: forward video","output: func [\"skip_video\"]",
  "input: skip youtube video","output: func [\"skip_video\"]",
  "input: forward youtube video","output: func [\"skip_video\"]",
  "input: revert video 10 seconds bavk","output: func [\"back_video\"]",
  "input: revert youtube video","output: func [\"back_video\"]",
  "input: go back 10 seconds","output: func [\"back_video\"]",
  "input: rewind video","output: func [\"back_video\"]",
  "input: close youtube","output: func [\"close_youtube\"]",
  "input: quit youtube","output: func [\"close_youtube\"]",
  "input: exit youtube","output: func [\"close_youtube\"]",
  "input: make youtube full screen","output: func [\"fullscreen_video\"]",
  "input: go full screen","output: func [\"fullscreen_video\"]",
  "input: make video full screen","output: func [\"fullscreen_video\"]",
  "input: make youtube video fullscreen","output: func [\"fullscreen_video\"]",
  "input: open film mode","output: func [\"film_mode\"]",
  "input: start film mode","output: func [\"film_mode\"]",
  "input: play video in film mode","output: func [\"film_mode\"]",
  "input: play youtube video in film mode","output: func [\"film_mode\"]",
  "input: search [search string] on internet","output: func [\"search_on_internet\", \"[search string]\"]",
  "input: search today's news on internet","output: func [\"search_on_internet\", \"today's news\"]",
  "input: search [search string] on browser","output: func [\"search_on_internet\", \"[search string]\"]",
  "input: search geeks for geeks on browser","output: func [\"search_on_internet\", \"geeks for geeks\"]",
  "input: search [search string] on google","output: func [\"search_on_internet\", \"[search string]\"]",
  "input: search India on google","output: func [\"search_on_internet\", \"India\"]",
  "input: open browser","output: func [\"open_browser\"]",
  "input: start browser","output: func [\"open_browser\"]",
  "input: search on google","output: func [\"open_browser\"]",
  "input: search on internet","output: func [\"open_browser\"]",
  "input: search on browser","output: func [\"open_browser\"]",
  "input: open recently closed tab","output: func [\"open_recently_closed_tab\"]",
  "input: open last tab","output: func [\"open_recently_closed_tab\"]",
  "input: open previous tab","output: func [\"open_recently_closed_tab\"]",
  "input: open previously closed tab","output: func [\"open_recently_closed_tab\"]",
  "input: open  recent tab","output: func [\"open_recently_closed_tab\"]",
  "input: open downloads","output: func [\"open_download\"]",
  "input: view downloads","output: func [\"open_download\"]",
  "input: show download list","output: func [\"open_download\"]",
  "input: open downloads list","output: func [\"open_download\"]",
  "input: open history","output: func [\"open_history\"]",
  "input: view history","output: func [\"open_history\"]",
  "input: show history","output: func [\"open_history\"]",
  "input: show history list","output: func [\"open_history\"]",
  "input: open history list","output: func [\"open_history\"]",
  "input: open new window","output: func [\"open_new_window\"]",
  "input: open new browser","output: func [\"open_new_window\"]",
  "input: open new browser window","output: func [\"open_new_window\"]",
  "input: open new tab","output: func [\"open_new_tab\"]",
  "input: new tab","output: func [\"open_new_tab\"]",
  "input: start new tab","output: func [\"open_new_tab\"]",
